SPORT;TYPE;COMMUNE;NCOM;CAID_INS;CODE;LIEN_FICHE_DESCRIPTIVE;LIEN_PHOTOS;CATEGORIE;E;N
Tennis;Court de tennis;AIRE-LA-VILLE;6601;;6601.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6601-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6601-1.html;zone de sport;2492425.31;1116461.16
Football;Terrain de football;AIRE-LA-VILLE;6601;;6601.1.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6601-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6601-1.html;zone de sport;2492372.30;1116464.16
Basketball;Salle polyvalente;AIRE-LA-VILLE;6601;;6601.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6601-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6601-2.html;centre sportif;2492398.30;1116481.16
Gymnastique;Salle polyvalente;AIRE-LA-VILLE;6601;;6601.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6601-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6601-2.html;centre sportif;2492398.30;1116481.16
Volley-ball;Salle polyvalente;AIRE-LA-VILLE;6601;;6601.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6601-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6601-2.html;centre sportif;2492398.30;1116481.16
Tennis;Courts de tennis;ANIERES;6602;;6602.2.SA3;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506497.43;1125497.24
Badminton;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Basketball;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Fitness;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Gymnastique;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Handball;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Tennis;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Unihockey;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Volley-ball;Salle polyvalente d'Anières;ANIERES;6602;;6602.2.SA2;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506505.43;1125538.25
Basketball;Terrain de basket;ANIERES;6602;;6602.2.SA6;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506529.43;1125521.25
Football;Terrain de football;ANIERES;6602;;6602.2.SA4;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506458.43;1125531.24
Pétanque;Terrains de pétanque;ANIERES;6602;;6602.2.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506396.43;1125513.24
Pétanque;Terrains de pétanque;ANIERES;6602;;6602.2.SA5;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-2.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-2.html;zone de sport;2506544.43;1125456.24
Divers;Place de jeux de l'école;ANIERES;6602;;6602.4.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6602-4.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6602-4.html;terrain;2506569.43;1125570.25
Badminton;Salle polyvalente;AVULLY;6603;;6603.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-1.html;zone de sport;2489125.22;1113872.14
Basketball;Salle polyvalente;AVULLY;6603;;6603.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-1.html;zone de sport;2489125.22;1113872.14
Gymnastique;Salle polyvalente;AVULLY;6603;;6603.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-1.html;zone de sport;2489125.22;1113872.14
Handball;Salle polyvalente;AVULLY;6603;;6603.1.SA1;http://www.unige.ch/ses/geo/oum/service_sports/installations_pdf/6603-1.pdf;http://www.unige.ch/ses/geo/oum/service_sports/galleries/6603-1.html;zone de sport;2489125.22;1113872.14
